Dataset,SlowStart,Total_Time(s),Avg_CPU(%),Map_Time(s),Shuffle_Time(s),Reduce_Time(s),Overlap_Ratio(%)
100MB,0.20,134.33,57.02,131.00,82.33,0.00,95.93
100MB,0.50,140.33,54.25,135.33,43.00,0.33,82.27
100MB,0.80,133.00,58.98,130.33,21.00,0.00,87.22
100MB,1.00,153.33,54.36,142.67,0.00,0.00,0.00
500MB,0.20,546.00,65.92,526.00,408.00,0.00,95.08
500MB,0.50,567.33,66.81,553.00,268.33,1.00,95.03
500MB,0.80,550.33,65.24,539.33,106.67,0.67,90.31
500MB,1.00,569.33,62.57,527.33,22.33,0.00,0.00
1G,0.20,860.00,97.51,843.00,649.00,0.00,97.38
1G,0.50,851.00,94.77,833.00,406.00,0.00,95.57
1G,0.80,860.00,93.58,833.00,163.00,0.00,83.44
1G,1.00,927.00,89.29,864.00,30.00,3.00,0.00
